"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"GNLY",0,3.10693016323945,0.849,0.012,0,"NK cells"
"NKG7",0,2.55029804949262,0.976,0.308,0,"NK cells"
"GZMB",0,2.19119192088535,0.862,0.101,0,"NK cells"
"FGFBP2",0,1.60080578630459,0.672,0.006,0,"NK cells"
"PRF1",0,1.51175505544644,0.754,0.108,0,"NK cells"
"KLRF1",1.38861841371358e-247,0.818750192839897,0.362,0.006,2.57672032848693e-243,"NK cells"
"CST7",4.48044540791822e-230,1.33709374017793,0.827,0.251,8.31391449893305e-226,"NK cells"
"KLRD1",1.00188018752947e-218,1.18279114557438,0.676,0.122,1.85908887597968e-214,"NK cells"
"CD247",1.14455946462511e-210,0.888467778546683,0.525,0.077,2.12384454255836e-206,"NK cells"
"SPON2",3.45420392422795e-185,0.781220004180499,0.377,0.028,6.40962080179738e-181,"NK cells"
"GZMH",9.70358446460914e-185,1.19765424962218,0.728,0.199,1.80059713325287e-180,"NK cells"
"KLRB1",9.35434693474728e-179,1.21419680371541,0.581,0.091,1.73579261721171e-174,"NK cells"
"CTSW",4.31412570064799e-171,0.977233937703283,0.623,0.151,8.00529165012241e-167,"NK cells"
"MYOM2",8.00432106765834e-163,0.615540812012922,0.267,0.009,1.48528181731468e-158,"NK cells"
"LAIR2",6.02078767897518e-154,0.552417892987798,0.256,0.007,1.11721736171063e-149,"NK cells"
"CCL5",3.16042643319905e-148,1.00784744143499,0.896,0.374,5.86448728944416e-144,"NK cells"
"GZMA",6.04911434646852e-130,0.828728486267935,0.786,0.289,1.1224736581307e-125,"NK cells"
"PLAC8",3.11012011529637e-126,0.715622789774972,0.445,0.072,5.77113888594395e-122,"NK cells"
"TRDC",2.5412802886564e-124,0.652269591664282,0.314,0.026,4.71559970363081e-120,"NK cells"
"S1PR5",5.36764190040934e-123,0.32714117831853,0.195,0.004,9.96019631039957e-119,"NK cells"
"CD52",3.8378868479859e-115,1.20187715521169,0.696,0.335,7.12158283512264e-111,"NK cells"
"HLA-C",1.29131443544706e-109,0.716948396302584,1,0.925,2.39616306641557e-105,"NK cells"
"CLIC3",2.20435951151271e-94,0.512376604467562,0.277,0.038,4.09040950956299e-90,"NK cells"
"EFHD2",2.82335427252153e-87,0.556411731018801,0.475,0.189,5.23901618809094e-83,"NK cells"
"CCL4",1.63845690989662e-86,0.892516451248078,0.871,0.478,3.04032064200417e-82,"NK cells"
"CD7",1.11985274447203e-82,0.726880267539732,0.523,0.179,2.0779987526423e-78,"NK cells"
"B2M",3.77438102562163e-80,0.581615740881879,1,0.999,7.00374143114349e-76,"NK cells"
"CST3",1.2222970914147e-77,-1.884606365523,0.44,0.662,2.26809448282913e-73,"NK cells"
"PFN1",8.49048593663392e-77,0.682430019479582,0.932,0.803,1.57549457040179e-72,"NK cells"
"S100A4",2.27741658873599e-76,0.735459921835274,0.857,0.504,4.2259742220585e-72,"NK cells"
"SH3BGRL3",4.54145284206197e-76,0.731235689820173,0.839,0.588,8.42711989373019e-72,"NK cells"
"TRBC1",1.05741537055825e-73,0.575386569178315,0.474,0.147,1.96213996160789e-69,"NK cells"
"ARL4C",9.29188839792143e-73,0.585930402208988,0.518,0.19,1.7242028111183e-68,"NK cells"
"C12orf75",1.22126427449497e-72,0.524744279810541,0.435,0.132,2.26617798775287e-68,"NK cells"
"CD74",7.17415563383193e-72,-1.65385711453673,0.744,0.78,1.33123631941385e-67,"NK cells"
"IFITM3",1.68005843692718e-71,-1.30330389935234,0.185,0.503,3.11751643556208e-67,"NK cells"
"PTGDS",2.38961490442102e-68,0.904138551252203,0.144,0.008,4.43416941664365e-64,"NK cells"
"HLA-B",5.9050145669756e-68,0.530602757012244,1,0.937,1.09573450304799e-63,"NK cells"
"IFI27",2.00459983072489e-67,-1.6445234623437,0.576,0.599,3.7197354458931e-63,"NK cells"
"HLA-DRA",8.5062137424334e-66,-1.54792747396911,0.46,0.604,1.57841302204594e-61,"NK cells"
"NPC2",8.07532651538934e-65,-0.912051726720198,0.141,0.454,1.49845758819565e-60,"NK cells"
"ARPC2",3.7972751783484e-63,0.603412376658083,0.728,0.516,7.0462238209433e-59,"NK cells"
"ABHD17A",6.98096874054371e-63,0.412312572825879,0.34,0.123,1.29538855949529e-58,"NK cells"
"HLA-A",1.3896774069402e-62,0.519088719041888,1,0.953,2.57868539631824e-58,"NK cells"
"PSAP",1.50033321347376e-61,-1.03588009954969,0.231,0.534,2.7840183109219e-57,"NK cells"
"MARCKS",2.003635963905e-61,-0.571142446076035,0.007,0.239,3.71794689462212e-57,"NK cells"
"TRGC1",2.98489545090989e-61,0.448683139974057,0.27,0.052,5.53877199870839e-57,"NK cells"
"DDIT4",1.09243693540799e-60,0.634973764002413,0.584,0.294,2.02712597734307e-56,"NK cells"
"FCGRT",3.19119228100829e-59,-0.678656735897976,0.053,0.32,5.92157639663898e-55,"NK cells"
"CREM",1.86921165481179e-58,0.619190006171357,0.509,0.285,3.46850914666876e-54,"NK cells"
"CD9",5.85826621340306e-58,-0.731927741072966,0.059,0.331,1.08705987855907e-53,"NK cells"
"HLA-DRB5",4.14434450479663e-57,-1.06659154174451,0.199,0.459,7.69024566310063e-53,"NK cells"
"IL32",5.35789940052996e-57,0.624758567978036,0.75,0.419,9.94211812762339e-53,"NK cells"
"BIN2",7.98143001310269e-56,0.40212216586216,0.343,0.105,1.48103415323133e-51,"NK cells"
"RNASE1",3.59377307376648e-55,-1.24288649005121,0.036,0.269,6.66860531568108e-51,"NK cells"
"CTSB",5.39403805377225e-55,-0.680192696209417,0.032,0.274,1.00091770125798e-50,"NK cells"
"FOS",3.68890611658805e-54,-1.14363992091796,0.611,0.736,6.84513418994078e-50,"NK cells"
"MEF2C",7.38854829775283e-54,-0.484590030031693,0.037,0.282,1.37101902213102e-49,"NK cells"
"BRI3",8.06856897713975e-54,-0.540300635497582,0.126,0.418,1.49720365939805e-49,"NK cells"
"HLA-DRB1",8.42908750248435e-54,-1.08292098533085,0.576,0.639,1.564101476961e-49,"NK cells"
"CD69",9.47770590315328e-54,0.279231114706477,0.64,0.342,1.75868310738912e-49,"NK cells"
"AKR1C3",1.6769445358181e-53,0.26021590815526,0.166,0.029,3.11173828066407e-49,"NK cells"
"TIMP3",6.12260577063104e-53,-0.728684813403306,0.01,0.221,1.1361107267983e-48,"NK cells"
"IL2RG",7.47849276057475e-53,0.438795400251898,0.428,0.157,1.38770911665225e-48,"NK cells"
"MT-ND1",6.9064040876512e-52,-0.858037910357917,0.9,0.931,1.28155234250456e-47,"NK cells"
"AIF1",1.7883666324644e-51,-0.984835386192274,0.048,0.265,3.31849312320095e-47,"NK cells"
"CXCR4",2.50549013550497e-51,0.397793719090081,0.835,0.532,4.64918749544302e-47,"NK cells"
"LITAF",5.68671446441153e-51,0.470175441669565,0.525,0.237,1.0552267360162e-46,"NK cells"
"HCST",1.40891933505896e-50,0.570225095112117,0.718,0.416,2.61439071813541e-46,"NK cells"
"GZMM",1.68984546518396e-50,0.472228284280951,0.401,0.147,3.13567724519536e-46,"NK cells"
"HLA-E",3.29118284168839e-50,0.435545315274585,0.946,0.729,6.10711888103698e-46,"NK cells"
"BTG1",2.68109666644378e-49,0.493760536974464,0.932,0.716,4.97504297425307e-45,"NK cells"
"RHOB",5.53718878675221e-49,-0.683593477608258,0.097,0.353,1.02748075126974e-44,"NK cells"
"APP",1.5521179789983e-48,-0.532238532898354,0.032,0.253,2.88011012182925e-44,"NK cells"
"GPR65",1.82746790042601e-48,0.416839372590913,0.334,0.122,3.39104943603051e-44,"NK cells"
"CALM1",1.17577281548043e-47,0.522053427003311,0.727,0.514,2.18176403640549e-43,"NK cells"
"HLA-DMA",3.65370427870781e-46,-0.517752213883345,0.075,0.314,6.77981365957022e-42,"NK cells"
"TSC22D3",1.62190241794218e-45,0.57906509742763,0.722,0.441,3.00960212673351e-41,"NK cells"
"PTPRC",9.4259153616892e-45,0.486687068859116,0.615,0.329,1.74907285451505e-40,"NK cells"
"SELENOP",1.53608370195866e-44,-0.99260078949174,0.065,0.283,2.8503569173545e-40,"NK cells"
"CD14",2.22719612643725e-44,-0.800486643164585,0.031,0.23,4.13278513221697e-40,"NK cells"
"GSN",7.25278900373188e-44,-0.826789671921072,0.058,0.273,1.34582752753249e-39,"NK cells"
"C1QA",8.42992725663493e-44,-1.81824718873788,0.078,0.248,1.56425730174118e-39,"NK cells"
"MS4A7",1.33949714956118e-43,-0.536090753096588,0.01,0.19,2.48557091072572e-39,"NK cells"
"PYHIN1",2.36424311399191e-43,0.381153196838664,0.362,0.128,4.38708952232338e-39,"NK cells"
"VIM",3.29857065186597e-43,-0.712545771396402,0.295,0.556,6.12082770160249e-39,"NK cells"
"MYO1F",6.25785023448667e-43,0.374927840969236,0.358,0.138,1.16120668951135e-38,"NK cells"
"EGR1",6.66436642754235e-43,-0.694186452777508,0.065,0.282,1.23663983429476e-38,"NK cells"
"CYBA",8.24559494612041e-43,0.387923537383602,0.907,0.666,1.5300525982021e-38,"NK cells"
"C1QB",1.04612335114562e-42,-1.64990014371744,0.065,0.229,1.94118649038581e-38,"NK cells"
"SPN",2.57915921768528e-42,0.299178859377379,0.25,0.066,4.78588784433681e-38,"NK cells"
"MT-ND2",7.20520595242717e-42,-0.729200846898721,0.98,0.971,1.33699801653239e-37,"NK cells"
"NR4A1",7.31626896719721e-42,-0.517881628495598,0.076,0.308,1.35760686955311e-37,"NK cells"
"RDX",1.14772173913658e-41,-0.528238471629815,0.088,0.309,2.12971245914184e-37,"NK cells"
"TCF4",1.76184542744464e-41,-0.331339154984554,0.015,0.196,3.26928037516627e-37,"NK cells"
"AKNA",3.93074198382965e-41,0.340042561139489,0.278,0.09,7.29388482519431e-37,"NK cells"
"GNG2",4.89349481735009e-41,0.321973677619993,0.277,0.095,9.08036898307483e-37,"NK cells"
"SAT1",4.93610059878699e-41,-1.17642330069318,0.463,0.579,9.15942827110913e-37,"NK cells"
"C1QC",1.29040299395678e-40,-1.04872592094035,0.025,0.191,2.39447179558621e-36,"NK cells"
"TIMP1",4.90235218749862e-40,-0.79359779722217,0.16,0.405,9.09680471912243e-36,"NK cells"
"CHST12",5.39407228557005e-40,0.351208975520236,0.34,0.129,1.00092405331038e-35,"NK cells"
"A2M",7.79186871600751e-40,-0.409396339423139,0.012,0.181,1.44585915894235e-35,"NK cells"
"FAM198B",9.97355199132374e-40,-0.386408002937253,0.031,0.219,1.85069230751003e-35,"NK cells"
"DUSP2",1.46998786836004e-39,0.434306050555328,0.64,0.362,2.72770948852889e-35,"NK cells"
"MS4A6A",1.51021521172302e-39,-0.54291472163709,0.02,0.195,2.80235534687324e-35,"NK cells"
"HES1",1.77642125644249e-39,-0.743834029582714,0.024,0.204,3.29632728345469e-35,"NK cells"
"MGST2",1.79891023911974e-39,-0.385274905391465,0.042,0.245,3.3380578397106e-35,"NK cells"
"ITM2B",2.14938173390112e-39,-0.542337555946722,0.681,0.787,3.98839274542692e-35,"NK cells"
"CTSZ",2.28301873654705e-39,-0.420119605342405,0.048,0.253,4.23636956753671e-35,"NK cells"
"ANXA5",2.31570553161919e-39,-0.362619555368627,0.087,0.32,4.29702318447256e-35,"NK cells"
"APOE",1.15381164329127e-38,-1.42178253777949,0.829,0.796,2.14101288529127e-34,"NK cells"
"SPARC",1.67470097067056e-38,-0.499159115896058,0.034,0.221,3.10757512117628e-34,"NK cells"
"CMC1",2.68917902511456e-38,0.519623200905926,0.329,0.142,4.99004059900258e-34,"NK cells"
"TCEAL9",4.4290874011306e-38,-0.330958840390967,0.022,0.198,8.21861458153795e-34,"NK cells"
"GRN",3.21236000951933e-37,-0.459206429635512,0.059,0.257,5.96085523366407e-33,"NK cells"
"CNN3",3.68449286746387e-37,-0.399100265267593,0.036,0.221,6.83694496486596e-33,"NK cells"
"CTSL",5.26201321131067e-37,-0.275970540867197,0.007,0.16,9.76419171490808e-33,"NK cells"
"SYTL3",5.81501620096557e-37,0.314917404373696,0.268,0.084,1.07903440625117e-32,"NK cells"
"SGK1",6.26033453729722e-37,-0.494185872728662,0.024,0.195,1.16166767674087e-32,"NK cells"
"KLF4",8.8989903399242e-37,-0.327611262982622,0.005,0.154,1.65129664747633e-32,"NK cells"
"CD68",9.16996616404011e-37,-0.394171504864325,0.01,0.167,1.70157892139928e-32,"NK cells"
"RAB31",1.58402636089612e-36,-0.261602568688099,0.012,0.171,2.93931931527884e-32,"NK cells"
"LST1",3.99242303587809e-36,-0.614727311463081,0.032,0.208,7.40834018537539e-32,"NK cells"
"ANXA1",4.96296139727371e-36,0.504626801440723,0.586,0.347,9.20927116878109e-32,"NK cells"
"SPARCL1",8.24136676744871e-36,-0.654718153112263,0.002,0.138,1.52926801736778e-31,"NK cells"
"AES",9.85693712460841e-36,0.32721035876252,0.421,0.292,1.82905325284234e-31,"NK cells"
"RIPOR2",1.39545673988932e-35,0.266040453950704,0.216,0.06,2.58940952653863e-31,"NK cells"
"YBX3",1.59644347011141e-35,-0.378824242601312,0.071,0.278,2.96236050313873e-31,"NK cells"
"RBP1",1.7236309835962e-35,-0.438847696470751,0.075,0.267,3.19836965316111e-31,"NK cells"
"BEX3",4.01189748003063e-35,-0.506302915712,0.112,0.321,7.44447696394484e-31,"NK cells"
"RAC2",5.5284945000726e-35,0.406478796785201,0.399,0.201,1.02586743943347e-30,"NK cells"
"ITGB2",1.40409858623263e-34,0.461425115364548,0.545,0.331,2.60544533661327e-30,"NK cells"
"MEG3",1.5647930767331e-34,-0.579436888319548,0.031,0.199,2.90363003318594e-30,"NK cells"
"IER3",2.65989338228843e-34,-0.69906596382502,0.065,0.244,4.93569816017441e-30,"NK cells"
"LYZ",2.77255355251701e-34,-0.850458850340311,0.015,0.169,5.14475037205055e-30,"NK cells"
"CFL1",5.38207327442424e-34,0.439401137920164,0.869,0.721,9.98697516802161e-30,"NK cells"
"GAS6",1.24672759443088e-33,-0.345645759692591,0.007,0.146,2.31342772422594e-29,"NK cells"
"SH2D2A",1.29840573601504e-33,0.267997034826668,0.209,0.06,2.40932168374951e-29,"NK cells"
"RPS3",1.85331219365025e-33,0.350907879276054,0.998,0.974,3.43900610653741e-29,"NK cells"
"RNASE6",2.06787548337534e-33,-0.346702199311766,0.01,0.156,3.83714974695128e-29,"NK cells"
"CORO1A",2.11211295596635e-33,0.462377295218384,0.647,0.406,3.91923680109116e-29,"NK cells"
"CDC42SE1",2.146472028767e-33,0.333916923304694,0.294,0.133,3.98299349658005e-29,"NK cells"
"PTPN7",4.16731038120448e-33,0.363168974902299,0.321,0.132,7.73286114336303e-29,"NK cells"
"MATK",6.21080733534343e-33,0.273302403193178,0.231,0.071,1.15247740914633e-28,"NK cells"
"JUN",1.27220391403515e-32,-0.776831894542099,0.25,0.473,2.36070158288362e-28,"NK cells"
"IGFBP7",1.28200447276913e-32,-1.43103327608149,0.154,0.191,2.37888749967039e-28,"NK cells"
"C1orf56",1.34350862896196e-32,0.348089578783001,0.261,0.114,2.49301461190181e-28,"NK cells"
"SERPING1",1.57669251986138e-32,-0.284162915247535,0.003,0.133,2.92571063985477e-28,"NK cells"
"SOD2",2.55855234471551e-32,-0.383581539922666,0.037,0.206,4.7476497308541e-28,"NK cells"
"GPX4",3.03360814233181e-32,-0.432766788978911,0.282,0.516,5.62916326891091e-28,"NK cells"
"HSPB1",5.29336223970353e-32,-0.895868764695081,0.202,0.419,9.82236297199387e-28,"NK cells"
"HLA-DPA1",5.96235853585502e-32,-0.866582193398732,0.331,0.484,1.10637524991326e-27,"NK cells"
"IGFBP4",6.98407891697994e-32,-0.375305599863781,0.003,0.13,1.2959656838348e-27,"NK cells"
"CYSTM1",1.13799156938011e-31,-0.354783377108122,0.051,0.227,2.11165715614174e-27,"NK cells"
"DAB2",1.71196799232843e-31,-0.371164790986283,0.063,0.244,3.17672780656464e-27,"NK cells"
"CD59",1.87304045326096e-31,-0.400711337583459,0.041,0.209,3.47561386507103e-27,"NK cells"
"HOPX",2.32635718006051e-31,0.295996472432378,0.29,0.107,4.31678838332029e-27,"NK cells"
"PRDX1",2.43085385564026e-31,-0.367517628968542,0.238,0.479,4.51069241452608e-27,"NK cells"
"GZMK",2.69142353530037e-31,-0.656795589526933,0.087,0.266,4.99420551210337e-27,"NK cells"
"MGP",2.78487420276277e-31,-0.868330754385324,0.065,0.242,5.1676125706466e-27,"NK cells"
"SPI1",3.01806347926409e-31,-0.260619077189758,0.007,0.14,5.60031859212244e-27,"NK cells"
"MT-ND3",3.71499665989635e-31,-0.772587106622693,0.958,0.95,6.89354780210367e-27,"NK cells"
"RAMP2",3.8567515507557e-31,-0.470449217673885,0.002,0.122,7.15658817758228e-27,"NK cells"
"DOK2",5.32253481214232e-31,0.315231143488754,0.307,0.128,9.87649559741129e-27,"NK cells"
"IGFBP5",6.78787924906756e-31,-1.82815500648276,0.027,0.157,1.25955887345698e-26,"NK cells"
"HSPA1A",9.5981246806433e-31,-0.831144836852949,0.555,0.625,1.78102801574017e-26,"NK cells"
"SYPL1",9.78463592849824e-31,-0.267591894013666,0.037,0.205,1.81563704289213e-26,"NK cells"
"CD163",2.54736028465109e-30,-0.291042543093292,0.003,0.126,4.72688174419856e-26,"NK cells"
"CCND3",2.57375634105958e-30,0.289612638051134,0.29,0.147,4.77586226647016e-26,"NK cells"
"GNG11",2.61721683729867e-30,-0.423065927385038,0.014,0.149,4.85650756329141e-26,"NK cells"
"HSPA1B",3.19814017104315e-30,-0.61754209373134,0.241,0.477,5.93446890138767e-26,"NK cells"
"FCGR3A",3.21841146209486e-30,0.328670181712346,0.336,0.142,5.97208430906323e-26,"NK cells"
"SORBS2",4.47015341304795e-30,-0.304218855068683,0.02,0.166,8.29481667325177e-26,"NK cells"
"KLF2",7.54422637314144e-30,0.295153340863305,0.46,0.24,1.39990664580013e-25,"NK cells"
"CRIP1",1.15253568889836e-29,0.335168535299317,0.433,0.215,2.1386452243198e-25,"NK cells"
"COTL1",1.46098192652478e-29,-0.461242382908948,0.129,0.33,2.71099806285938e-25,"NK cells"
"STAB1",2.07940650363938e-29,-0.280987728288642,0.005,0.128,3.85854670815323e-25,"NK cells"
"EGFL7",2.18850226711782e-29,-0.364456621647821,0.01,0.138,4.06098480686382e-25,"NK cells"
"NDRG2",2.98790353095474e-29,-0.271856960233811,0.029,0.179,5.54435379203961e-25,"NK cells"
"PPP2R5C",3.20902449868324e-29,0.373544154313155,0.44,0.233,5.95466585975663e-25,"NK cells"
"LGALS3BP",5.2124805879485e-29,-0.307007584996276,0.044,0.207,9.67227897899724e-25,"NK cells"
"HLA-DMB",5.57324126484981e-29,-0.287784767107842,0.024,0.168,1.03417064910553e-24,"NK cells"
"CLU",5.67387235330759e-29,-0.928884312640414,0.2,0.346,1.05284375387976e-24,"NK cells"
"PLAUR",6.94907492933476e-29,-0.417333204905528,0.015,0.15,1.28947034388736e-24,"NK cells"
"TYMP",7.68509949284613e-29,-0.499709427117932,0.119,0.303,1.42604706189253e-24,"NK cells"
"TBC1D10C",7.88082682028006e-29,0.280257426910108,0.275,0.105,1.46236622477117e-24,"NK cells"
"LTC4S",8.23894611513317e-29,-0.255366488648983,0.008,0.134,1.52881884112411e-24,"NK cells"
"LCK",1.7487499760943e-28,0.309403256943792,0.351,0.156,3.24498045564058e-24,"NK cells"
"HLA-DQB1",2.72049261066809e-28,-0.532385162177686,0.126,0.316,5.04814608835572e-24,"NK cells"
"RAP1B",3.48986918586357e-28,0.320588736801234,0.441,0.296,6.47580126128845e-24,"NK cells"
"FDXR",4.02739523483367e-28,-0.463655599159013,0.065,0.218,7.47323459775735e-24,"NK cells"
"RAC1",5.21818398054332e-28,-0.459527643056271,0.299,0.509,9.68286219429618e-24,"NK cells"
"FTL",5.73505260896018e-28,-1.73892495387079,0.981,0.974,1.06419636211865e-23,"NK cells"
"NAMPT",6.24037803506566e-28,-0.406912918844273,0.063,0.228,1.15796454818678e-23,"NK cells"
"PLAT",9.132041429791e-28,-0.445307342464082,0.003,0.115,1.69454160771202e-23,"NK cells"
"GNAS",9.80621755564088e-28,-0.356202687644522,0.182,0.395,1.81964172962472e-23,"NK cells"
"SNCG",9.92800716003848e-28,-0.418598837972827,0.068,0.23,1.84224100861674e-23,"NK cells"
"BST2",1.06453167477358e-27,-0.547571089666914,0.372,0.544,1.97534497570985e-23,"NK cells"
"SPTBN1",1.07953953820562e-27,-0.288569703645285,0.039,0.195,2.00319356709436e-23,"NK cells"
"RARRES3",1.31334222578071e-27,0.365287692797398,0.453,0.253,2.43703783415868e-23,"NK cells"
"TPD52L1",1.31756892945409e-27,-0.295643729108189,0.022,0.16,2.444880905495e-23,"NK cells"
"PLPP1",1.48412530570659e-27,-0.42879524336087,0.008,0.128,2.75394291726915e-23,"NK cells"
"YWHAE",1.70442632060478e-27,-0.329616079943331,0.149,0.354,3.16273348051422e-23,"NK cells"
"DUSP1",2.38619369066748e-27,-0.441833162363533,0.788,0.779,4.42782101240257e-23,"NK cells"
"MRPL33",3.06929472325012e-27,-0.500221612589997,0.2,0.391,5.69538328846293e-23,"NK cells"
"PEBP1",3.17825584127213e-27,-0.920242144457755,0.484,0.586,5.89757153906456e-23,"NK cells"
"RARRES2",4.14517572353121e-27,-1.05134583077337,0.487,0.55,7.69178807258452e-23,"NK cells"
"IL6ST",5.47874228275161e-27,-0.278427886744579,0.029,0.172,1.01663541798739e-22,"NK cells"
"PDK4",5.54705268580714e-27,-0.318398610299117,0.022,0.158,1.02931109637837e-22,"NK cells"
"INSR",5.74043737434793e-27,-0.334443093445012,0.01,0.131,1.065195559184e-22,"NK cells"
"MT2A",6.23407628689937e-27,-0.772428163728089,0.825,0.782,1.15679519579705e-22,"NK cells"
"ISG20",6.82655854699423e-27,0.360778977372126,0.431,0.231,1.26673620398025e-22,"NK cells"
"APMAP",7.85334710622457e-27,0.264582333088917,0.265,0.115,1.45726708903103e-22,"NK cells"
"CDKN1A",1.02944565250385e-26,-0.32727882708309,0.041,0.192,1.91023935278614e-22,"NK cells"
"IFI6",1.04057909275454e-26,-0.678339796550745,0.304,0.445,1.93089856451533e-22,"NK cells"
"EPHX1",1.26007785015129e-26,-0.429745060933195,0.088,0.258,2.33820045874073e-22,"NK cells"
"MGARP",1.86428632349604e-26,-0.258219422086567,0.02,0.153,3.45936970187924e-22,"NK cells"
"LGMN",2.70688186460361e-26,-0.26233708280021,0.007,0.121,5.02288998795846e-22,"NK cells"
"KCTD12",2.8538881349211e-26,-0.253179163589089,0.012,0.134,5.29567482315959e-22,"NK cells"
"TM4SF1",3.10901206031144e-26,-0.50292881853944,0.01,0.127,5.76908277911391e-22,"NK cells"
"CFD",3.80181861459585e-26,-0.706715323046164,0.019,0.148,7.05465462124406e-22,"NK cells"
"MAFB",4.20386910565504e-26,-0.325519729749026,0.014,0.135,7.8006995124535e-22,"NK cells"
"PRCP",4.22388805330565e-26,-0.279505731427428,0.025,0.163,7.83784667171397e-22,"NK cells"
"TGFB1",4.62011019073369e-26,0.30847844330626,0.375,0.206,8.57307646992544e-22,"NK cells"
"ARHGDIB",4.67307164710109e-26,0.38513075508691,0.662,0.462,8.67135174836078e-22,"NK cells"
"SLC9A3R2",1.08534155941263e-25,-0.744743807243592,0.019,0.136,2.01395979764607e-21,"NK cells"
"ID2",1.12406104469415e-25,0.439386189167818,0.57,0.38,2.08580767453446e-21,"NK cells"
"PHACTR2",1.43447661332828e-25,-0.262449104560757,0.031,0.17,2.66181480369195e-21,"NK cells"
"AC004687.1",1.7320558215783e-25,0.279494509217796,0.226,0.094,3.21400278252069e-21,"NK cells"
"EVL",2.22351599973625e-25,0.325494309521675,0.475,0.267,4.12595628911059e-21,"NK cells"
"CALD1",3.16083738397131e-25,-0.346384584492727,0.019,0.145,5.86524984969716e-21,"NK cells"
"COX7A1",4.01471975463487e-25,-0.273754299605926,0.048,0.199,7.44971397670047e-21,"NK cells"
"VSIG4",6.58545253588618e-25,-0.327513347065228,0.014,0.13,1.22199657255904e-20,"NK cells"
"CD63",8.76975149447227e-25,-0.443917270433381,0.458,0.637,1.62731508731427e-20,"NK cells"
"VCAN",1.01043776613986e-24,-0.346539023625507,0.008,0.117,1.87496831884913e-20,"NK cells"
"PLPP3",1.20401080107723e-24,-0.487890850938628,0.012,0.12,2.2341624424789e-20,"NK cells"
"ZEB2",1.4227845784864e-24,0.302728784633636,0.334,0.169,2.64011906383936e-20,"NK cells"
"SLC40A1",1.75169047304041e-24,-0.394830299238169,0.075,0.227,3.25043684177379e-20,"NK cells"
"CXCL2",1.99070943122356e-24,-0.526532259274625,0.007,0.115,3.69396042057844e-20,"NK cells"
"BLVRB",2.42812900858738e-24,-0.268479469835193,0.049,0.193,4.50563618833475e-20,"NK cells"
"EMCN",2.94641078615361e-24,-0.387023534451258,0.007,0.112,5.46735985478664e-20,"NK cells"
"MYL9",3.81576787435429e-24,-0.609201660723885,0.122,0.271,7.08053886765182e-20,"NK cells"
"PPP1CA",4.85966484423807e-24,0.293414716434149,0.413,0.256,9.01759408496816e-20,"NK cells"
"IFITM2",1.19820753300402e-23,0.428754111640791,0.599,0.428,2.22339389824225e-19,"NK cells"
"CHCHD10",1.54383235147341e-23,-0.284140542864736,0.126,0.307,2.86473531139405e-19,"NK cells"
"CD99",1.91420846059196e-23,0.327590734093775,0.475,0.339,3.55200521947445e-19,"NK cells"
"ID3",1.97223523412853e-23,-0.436569423768445,0.012,0.12,3.65967970044891e-19,"NK cells"
"C11orf96",2.01725088050614e-23,-0.535669346379709,0.02,0.136,3.7432107338672e-19,"NK cells"
"LYVE1",2.0575166477597e-23,-0.309532551937746,0.015,0.127,3.8179278915829e-19,"NK cells"
"MYL12A",2.2378351761487e-23,0.37960161536678,0.754,0.614,4.15252695286152e-19,"NK cells"
"PPP1R14A",3.43466379071697e-23,-0.307743536203657,0.051,0.191,6.37336213005441e-19,"NK cells"
"HSBP1",6.55350984424155e-23,-0.287651157383854,0.124,0.301,1.21606928669746e-18,"NK cells"
"TBX3",6.63842744342739e-23,-0.272362283262858,0.031,0.157,1.23182659640239e-18,"NK cells"
"DNASE1L3",6.93298957140339e-23,-0.620412284117343,0.014,0.113,1.28648554486961e-18,"NK cells"
"LIMD2",7.53132167402685e-23,0.29821016278005,0.319,0.172,1.39751204983242e-18,"NK cells"
"FOSB",8.44281878471067e-23,-0.497580134695274,0.221,0.4,1.56664945369091e-18,"NK cells"
"TGFBR2",8.81195133447439e-23,-0.396196751092588,0.048,0.176,1.63514568962507e-18,"NK cells"
"C3",9.66098170980672e-23,-0.275539050428748,0.019,0.136,1.79269176607173e-18,"NK cells"
"UGCG",1.20634173365661e-22,-0.316999403960453,0.039,0.167,2.23848772097321e-18,"NK cells"
"SOCS3",3.44813568392746e-22,-0.415138608467471,0.073,0.211,6.3983605750958e-18,"NK cells"
"RAMP3",4.76199924406877e-22,-0.332869485520989,0.007,0.103,8.83636579729401e-18,"NK cells"
"UCP2",4.81324547633907e-22,0.272466810745301,0.311,0.154,8.93145830589478e-18,"NK cells"
"PTMS",6.87824123469625e-22,-0.281049100584872,0.095,0.254,1.27632644351024e-17,"NK cells"
"CXCL8",8.61443302498424e-22,-0.753670932448428,0.02,0.127,1.59849419211608e-17,"NK cells"
"IFI30",8.6861072405763e-22,-0.258242009374487,0.012,0.116,1.61179405956134e-17,"NK cells"
"MS4A4A",9.94581267124147e-22,-0.271344741344876,0.019,0.129,1.84554499927557e-17,"NK cells"
"ATOX1",1.00022532764402e-21,-0.258439910034323,0.109,0.277,1.85601811797624e-17,"NK cells"
"ZFP36L2",1.08339301460853e-21,0.356564264704036,0.688,0.491,2.01034407790759e-17,"NK cells"
"LSP1",1.5688092211566e-21,0.330383166640091,0.521,0.343,2.91108239077819e-17,"NK cells"
