"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"AP1S2",8.5192038727613e-30,-0.349064945019002,0.015,0.199,1.58082347062959e-25,"ZR"
"TGFBR3",8.68829194601703e-30,0.258803325172077,0.296,0.092,1.61219945350292e-25,"ZR"
"PPP1R18",1.0450167500911e-29,-0.259613227913463,0.002,0.165,1.93913308146904e-25,"ZR"
"STMP1",1.24459037088572e-29,0.260033236394444,0.427,0.185,2.30946189221553e-25,"ZR"
"TRBC1",1.37028033382803e-29,-0.466943180668774,0.002,0.165,2.54269218745129e-25,"ZR"
"ARPC3",1.38630484602229e-29,-0.493456798475286,0.304,0.497,2.57242727227896e-25,"ZR"
"SMIM30",1.9588801485097e-29,0.312261666788417,0.41,0.164,3.63489800357461e-25,"ZR"
"MRPS12",2.22848069455044e-29,0.263328940198562,0.309,0.098,4.13516877680781e-25,"ZR"
"CD8A",2.6031191868341e-29,-0.322481413020298,0,0.148,4.83034796308936e-25,"ZR"
"GPR183",2.69082554027585e-29,-0.48943360539987,0.002,0.163,4.99309587253587e-25,"ZR"
"BCAP31",3.00258691683195e-29,0.297655442171804,0.511,0.244,5.57160028287337e-25,"ZR"
